;movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;AbsoluteScoreIncrease;RelativeScoreIncrease
43878;men-in-black-iii;10;TVJerry;/user/TVJerry;May 30, 2012;"[ ""It's been a decade since 2, but the wait has been worth it. Will Smith and Tommy Lee Jones are back and the only way to stop an Earth-threatening alien attack is for Smith to travel back in time. There, he meets the younger version of his partner (well-played by Josh Brolin) and proceeds to alter the future. Enough of plot. What we care about is cool creatures, neat effects and funny stuff. This one has plenty of it all! Some of the CG look cheesy, but there's much to enjoy, plus a touching story surprise. The most fun at the movies this summer (so far)."" ]";0.0;2.0;0.0;2.0;7;3.3333333333333335
44951;a-separation;10;TVJerry;/user/TVJerry;Feb 25, 2012;[];3.0;4.0;3.0;1.0;7;3.3333333333333335
52999;machete;10;TVJerry;/user/TVJerry;Oct  3, 2010;"[ ""When you see \""Introducing Don Johnson\"" in the titles, you know you're in for fun! The film harks back to director Robert Rodriguez's early style (a la \""El Mariachi\""): jammed cuts, hard action and ironic humor. Danny Trejo plays a renegade lawman who slices his way through the bad buys with all manner of blades. There's a plot, but it's more about enjoying the sharply-crafted filmmaking. The grindhouse style is plenty violent, but the flashes of fun and great characters make it completely cool. How often do you see Lindsay Lohan in a nun's habit, shooting one of our greatest actors?"" ]";1.0;2.0;1.0;1.0;7;3.3333333333333335
56563;the-social-network;10;TVJerry;/user/TVJerry;Oct  6, 2010;"[ ""If you're going to have a movie that's primarily people talking, you'd better have a good writer. That's certainly the case here: Aaron Sorkin has crafted a witty, snappy and poignant story of Facebook's creation and the subsequent lawsuits among its creators. Add the assured direction of David Fincher and solid performances from every actor. The result is a an enthralling examination of computer nerds, social jealousy and greed. A simply brilliant take on a remarkable phenomenon."" ]";1.0;5.0;1.0;4.0;7;3.3333333333333335
161399;enter-the-void;10;TVJerry;/user/TVJerry;Sep  2, 2012;"[ ""ENTER THE VOID is a VERY, VERY trippy cinematic poem with breakthrough visuals. It's not like any feature film I've ever seen. There's a hint of a plot, but the dazzling drug-induced hallucinations, amazing bird's eye view sequences and compelling situations combine to create a uniquely-brilliant experience. It is a bit too long and repetitious, but worth the commitment."" ]";3.0;3.0;3.0;0.0;7;3.3333333333333335
162423;let-me-in;10;TVJerry;/user/TVJerry;Oct  4, 2010;"[ ""I didn't see the original Swedish version, so this will NOT be a comparison. What I did see was not what I expected. This is NOT a classic vampire flick, but a classy tale about loneliness and isolation. A 12-year-old boy is bullied at school and desolate at home, until he meets the new girl next door. Their relationship forms the story's emotional center, but the fact that she's a vampire complicates matters. There are haunting images and moments of intense, bloody attack (and one amazing car wreck), but the tender core of the film elevates it to well-crafted cinema. Never really scary, but powerful just the same."" ]";13.0;16.0;13.0;3.0;7;3.3333333333333335
187757;gravity;10;TVJerry;/user/TVJerry;Oct  8, 2013;"[ ""Sandra Bullock and George Clooney are 2 astronauts who struggle for their lives when their space walk is shattered. The cast is small and the plot is simple, but this film packs a colossal wallop. The groundbreaking effects are truly spectacular (in every sense of the word). Director Alfonso Cuarón has created a dazzling cinematic masterpiece with gripping suspense that never lets up. Even with the amazing spectacle of outer space, he and Bullock create an intimate, emotional roller coaster ride. This is a filmmaking at its best. Don't miss it!"" ]";1.0;4.0;1.0;3.0;7;3.3333333333333335
188121;boyhood;10;TVJerry;/user/TVJerry;Aug 13, 2014;"[ ""You probably know the unique concept: This film blends real time and fiction as it looks in on the maturation of a boy and his family for 12 years, as he literally grows on camera. The time progress seamlessly, as life's everyday interactions take place between his family and friends. There are some landmarks, but more often it's the understated, mundane moments that blend into a quietly powerful portrait. Director Richard Linklater mines humor and emotion in the seemingly ordinary dialogue and the passage of minor cultural landmarks. The performances are uniformly natural and completely compelling. Even at 2:45, every minute captivates as only true life can. A modest masterpiece."" ]";5.0;11.0;5.0;6.0;7;3.3333333333333335
193235;trainwreck;10;TVJerry;/user/TVJerry;Jul 20, 2015;"[ ""Amy Schumer plays a magazine writer who lives her life in fear of commitment. This means lots of one-nite stands, plenty of alcohol and no intimacy…until she meets a sports doctor (Bill Hader). Schumer has written a sharp, clever screenplay, while creating a character that's raunchy, brash and surprisingly charming. Judd Apatow adds his masterful comic direction to make every gag work even better. The comedy is non-stop: Full of witty one-liners, hilarious situations and famous athletes having fun with their own personalities. Funny, witty and full of laffs. NOTE: That's Tilda Swinton as her boss"" ]";0.0;3.0;0.0;3.0;7;3.3333333333333335
195227;room-2015;10;TVJerry;/user/TVJerry;Nov 24, 2015;"[ ""In a 10X10 room, a woman (touchingly portrayed by Brie Larson) has been held captive with her 5-year-old son (a remarkable performance by Jacob Tremblay). The first half is spent in their confined environment before expanding the drama to examine their crisis in facing the real world. Without ever resorting to easy or expected devices, this film is sweet, touching, suspenseful and moving. Director Lenny Abrahamson has brilliantly created an intimate story that's powerful, yet understated. The best film I've seen this year."" ]";4.0;4.0;4.0;0.0;7;3.3333333333333335
199862;the-revenant-2015;10;TVJerry;/user/TVJerry;Jan 12, 2016;"[ ""Leonardo DiCaprio plays a hunter/tracker whose encounter with a bear is only the beginning of his struggle for survival in the frigid American northwest of the 1800s. This brutal journey is intensified by director Alejandro González Iñárritu’s masterful vision for capturing the harshness of nature and malevolence of men. Some of the sequences are technically astounding. Add to that the incredible scenery and immensely beautiful (mostly available light) cinematography by Emmanuel Lubezki. DiCaprio suffers with extreme commitment, but it’s the almost unrecognizable Tom Hardy, whose menacing villain is the acting standout. Even with the 3-hour running time, the intensity never slacks and the skillful storytelling creates a harshly compelling cinematic tour de force."" ]";3.0;8.0;3.0;5.0;7;3.3333333333333335
202610;deadpool;10;TVJerry;/user/TVJerry;Feb 19, 2016;"[ ""Starting with the satirical opening credits, this film embraces the sassy attitude that makes this anti-superhero so much fun. Ryan Reynolds is the perfect actor to play the role. He smartly nails every clever quip and witty observation, plus he’s easy on the eyes. The script is by the guys who penned “Zombieland,” so that gives you an idea of the non-stop wise cracks and smart pop culture references that fill the dialogue. The comic-book-style action is edited with a rapid-fire pace, but unlike so many modern fights, you can follow every punch. The approach is irreverent, sarcastic and very funny. Reynolds’ delightful character, the wonderfully twisted sense of humor and the inventive approach to a stale genre combine to create the most entertaining Marvel Comic flick yet."" ]";1.0;4.0;1.0;3.0;7;3.3333333333333335
55418;toy-story-3;10;EpicLadySponge;/user/EpicLadySponge;Dec 28, 2015;[];1.0;1.0;1.0;0.0;7;3.3333333333333335
61226;up;10;EpicLadySponge;/user/EpicLadySponge;Dec 29, 2015;[];1.0;1.0;1.0;0.0;7;3.3333333333333335
94397;toy-story;10;EpicLadySponge;/user/EpicLadySponge;Dec 28, 2015;[];2.0;2.0;2.0;0.0;7;3.3333333333333335
99432;the-incredibles;10;EpicLadySponge;/user/EpicLadySponge;Dec 27, 2015;[];0.0;0.0;0.0;0.0;7;3.3333333333333335
102417;star-wars-episode-v---the-empire-strikes-back;10;EpicLadySponge;/user/EpicLadySponge;Dec 30, 2015;[];3.0;3.0;3.0;0.0;7;3.3333333333333335
105621;star-wars-episode-iv---a-new-hope;10;EpicLadySponge;/user/EpicLadySponge;Dec 30, 2015;[];0.0;0.0;0.0;0.0;7;3.3333333333333335
110998;finding-nemo;10;EpicLadySponge;/user/EpicLadySponge;Dec 29, 2015;[];0.0;0.0;0.0;0.0;7;3.3333333333333335
120658;monsters-inc;10;EpicLadySponge;/user/EpicLadySponge;Dec 27, 2015;[];0.0;0.0;0.0;0.0;7;3.3333333333333335
132362;toy-story-2;10;EpicLadySponge;/user/EpicLadySponge;Dec 28, 2015;[];1.0;1.0;1.0;0.0;7;3.3333333333333335
133639;the-godfather;10;EpicLadySponge;/user/EpicLadySponge;Jan  5, 2016;[];0.0;0.0;0.0;0.0;7;3.3333333333333335
199594;the-bfg;10;EpicLadySponge;/user/EpicLadySponge;Jul  1, 2016;"[ ""It's already not the end of 2016, yet this (in my opinion) is the best film everyone could see of this year. The story was actually clever, like I didn't even knew it was based on the book named the same thing, especially if it's coming from Steven Spielberg, a great director and filmmaker. The characters are all lovable (especially all the dumb giants you're randomly seeing), the visual effects feels stereoscopic, but that's not all. It's surely Disney, but it feels like it could be distributed by any film studio other than Disney. The best part about this is that it was released on my birthday. You could say.It's already not the end of 2016, yet this (in my opinion) is the best film everyone could see of this year. The story was actually clever, like I didn't even knew it was based on the book named the same thing, especially if it's coming from Steven Spielberg, a great director and filmmaker. The characters are all lovable (especially all the dumb giants you're randomly seeing), the visual effects feels stereoscopic, but that's not all. It's surely Disney, but it feels like it could be distributed by any film studio other than Disney. The best part about this is that it was released on my birthday. You could say... best birthday gift ever, right? Don't listen to those scrubs who think movies like Warcraft and Hardcore Henry could make the front page. This is instantly going to make to the front page. It's only recommended to those with no fear of giants, otherwise good luck with this film... best birthday gift ever, right? Don't listen to those scrubs who think movies like Warcraft and Hardcore Henry could make the front page. This is instantly going to make to the front page. It's only recommended to those with no fear of giants, otherwise good luck with this film."" ]";1.0;9.0;1.0;8.0;7;3.3333333333333335
56404;the-white-ribbon;10;JLuis_001;/user/JLuis_001;Sep  6, 2017;[];0.0;0.0;0.0;0.0;7;3.3333333333333335
125972;das-boot;10;JLuis_001;/user/JLuis_001;Oct 14, 2017;[];0.0;0.0;0.0;0.0;7;3.3333333333333335
132098;the-legend-of-drunken-master;7;YorkMan;/user/YorkMan;May  5, 2016;"[ ""Drunken Master II (I am reviewing the original HK release, and not the awful, dubbed, edited, re-scored US release) rounded off the early 90's 'classic kung fu' boom with some considerable style."", """", ""Jackie returns as Wong Fei Hung, reprising the role from the original movie (released in 1978) that made him the biggest star in Asia. Sitting in the director's chair is kung fu movie legend Lau Kar Leung."", ""Lau is a kung fu master whose skills can be traced back to Wong Fei Hung (Lau's father was a student of Wong Fei Hung's most famous student, Lam Sai Wing) and having him take up the reins behind the camera was something of a coup for Jackie at the time the film was being made."", """", ""Lau's presence can be felt in all aspects of the movie."", """", ""Although it is a 'Jackie' picture, Lau (as director, choreographer, and co-star) gives the production a sense of authenticity."", ""Jackie was interviewed at the time and was exasperated by the fact the other big Wong Fei Hung Movie(s) at the time (the Once Upon A Time In China series) used wires and other 'effects' to accentuate the action on screen."", ""Lau, Jackie, and Jackie's stunt crew, all combine to take the kung fu fighting right back to the old school. Long takes, wide angles interspersed with close ups and, because Lau is the choreographer, the movements used by those fighting are authentic to the 'style' that Wong himself used in real life."", """", ""Unfortunately though this level of authenticity was pushed out of the window when, after Lau's character is killed, Jackie effectively took over production of the movie and choreographed the final fight scenes of the film himself."", ""As such there is a massive step-change in the way the final 'battle' is not only choreographed, but also in how it's shot and lit. Jackie fights his (real life) on/off bodyguard Ken Lo in the final reel, but it's so rapid-fire and uses dozens of short 'pieces' cut together, that there's no sense of the two fighters on-screen are actually engaged in martial combat. It's much more like an intricate dance, that level of strength and power being put into each kick, punch and block are just not there."", """", ""However, despite the final 20 minutes coming over like a completely different movie in tone and direction, it's still a truly remarkable 'old school' kung fu actioner."", ""The cast is all good, Lau's direction is just spectacular, and the film has a polish to it that you only get from the budget a Jackie picture would be given."", ""Downsides (apart from that disappointing final reel) are too many comedy elements (a necessary(?) carry over from the tone of the original 1978 film) and a few unnecessary exposition scenes and pointless cameos."" ]";0.0;0.0;0.0;0.0;6;7.0
136277;the-big-kahuna;7;YorkMan;/user/YorkMan;Aug 11, 2016;"[ ""Interesting film, but incredibly reliant on its source material (a stage play) which does lessen the 'closeness' that a live audience would have."", ""There's good and bad in that. The good points are the core performances of the three leads, all share screen time and all commit to their characters. The narrative is strong, with discussions of religion, life, death, overcoming adversity, and accepting failures. It works well."", ""The bad points are that the structure doesn't suit a film. As a single set stage-play I would imagine it would be far more electrifying, but over 90 minutes there are long scenes that do lag. Also there was (for me anyway) a muddled subtext. It's clear that the three characters are all meant to have their own sensibilities and we get to understand them, but the pay off at the end is somewhat anticlimactic. As such the movie fails to 'work', even if it's worth watching."" ]";0.0;0.0;0.0;0.0;6;7.0
139759;no-country-for-old-men;7;YorkMan;/user/YorkMan;Feb  4, 2016;"[ ""No Country For Old Men is the Coen Brother's homage to Peckinpah, featuring a muted and somewhat distorted historical piece of storytelling."", ""The main crux of the movie is the cat and mouse engagement of a Vietnam veteran (Josh Brolin), who stumbles across a drug deal gone awry..... And a Mafia hitman (Javier Bardem) who is unleashed upon him in order to recover the $2 million that Brolin finds at the scene."", ""On both their heels is a soon to retire county Sheriff (Tommy Lee Jones) who suspects there is more going on than what those around him suspect."", """", ""From a film-making perspective this is the Coen's at their best. Every aspect of the production is impeccable, and the lack of a musical score heightens the suspense when other directors would have imposed some kind of background music to 'tell' the audience something suspenseful is happening."", ""The acting across the board is fantastic. Tommy Lee Jones is as gravelly as always, Josh Brolin delivers the best performance of his career up to that point, but it's Javier Bardem who steals the film in terms of acting. His portrayal of the seemingly invincible hitman whose own motives are clouded and contradictory is a real revelation. Unfortunately his position as THE go to foreign star/co-star has been usurped by Christoph Waltz, and it's likely he'll simply fade back into the smaller films he starred in before."", """", ""But, for all the positives, there are some big negatives. The main issue I had with the film is that it feels like a collection of set pieces joined together, and it's been noted that the narrative of the book on which the film is based does flesh out some of the character development the film completely omits. It's like the screenplay was written to include title cards along the way, announcing each 'chapter' so as to let the audience understand that there are intended gaps in the narrative which the director is highlighting. Without that highlighting, things happen and you're not sure how or why the film leaps from character to character, because they're not interlinked."", ""The other big problem is that there is very little exposition, meaning the viewer has little comprehension of where people are going, or how certain characters figure certain things out. For a film in which the tension is defined by the actions of the main characters, it created questions in my mind surrounding people's actions, when it would have made a lot more sense to do something else."", """", ""Overall though, this is a great film. Switch off your deep-thinking sensibilities, and roll along with three completely different men, each trying to figure out what they need to do next, whilst marveling at the imagery and depth of what is captured on the film."" ]";0.0;0.0;0.0;0.0;6;7.0
120;maudie;9;TVJerry;/user/TVJerry;Jul 23, 2017;"[ ""Maude Lewis was a primitive painter in '50s Nova Scotia. Sally Hawkins beautifully captures her character, who was \""born funny\"" (her words for rheumatoid arthritis), while Ethan Hawke is quietly grim as the reclusive man who hires her as a housekeeper. Both of their performances are warm and award-worthy. Aisling Walsh's direction quietly captures the challenges and frustrations that this duo faces with touching, sometimes frustrating sensitivity. The cinematography makes the engaging story even more beautiful. I'm not usually a fan of primitive art, but Maudie's work appealed to me, as did this sweetly told biography."" ]";1.0;1.0;1.0;0.0;6;3.0
3150;kong-skull-island;9;TVJerry;/user/TVJerry;Mar 14, 2017;"[ ""This is a complete revision of the King Kong tale. A group of scientists (and their military escorts) goes on an expedition to a mysterious island, where they discover quite a few large, dangerous creatures. It's less about a raging monster and more about an action-packed adventure. The creatures create a formidable presence and the encounters are full of creative ways to kill. Toss is John C. Reilly for some sweet humor, stunning locations and beautiful cinematography. Combine them with assured filmmaking from 2nd time director Jordan Vogt-Roberts (\""The Kings of Summer\"") and the result is pure popcorn fun! NOTE: Stay thru the credits for a promising preview."" ]";0.0;1.0;0.0;1.0;6;3.0
4043;paterson;9;TVJerry;/user/TVJerry;Feb  7, 2017;"[ ""Adam Driver plays the titular character, a bus driver who lives in the NJ city of the same name. We watch his daily routine: he gets up, drives his bus (and pens his poetry), spends the evening with his devoted wife, walks the dog and drops by a local bar for a beer. This is a low-key character study from deadpan director Jim Jarmusch. While it's always interesting, almost nothing happens…just observations of his life and love. (The dog provides some delightful lighter moments.) Driver's soulful eyes dominate his sensitive portrayal and the final scenes are truly moving. Jarmusch's quiet observations and poetic montages combined with quietly compelling situations create a sweetly affecting cinematic poem."" ]";2.0;2.0;2.0;0.0;6;3.0
5860;loving;9;TVJerry;/user/TVJerry;Nov 28, 2016;"[ ""This film is based on the true case of Mildred and Richard Loving, an interracial couple who lived in Virginia (where the film was also shot) and ultimately challenged the miscegenation laws in the Supreme Court. This film quietly tells their story without overblown outrage or extreme emotion. Director Jeff Nichols lets images, especially faces, poignantly tell as much of the story as the minimal dialogue. With the sweetly touching, skillfully underplayed performances by Joel Edgerton and Ruth Negga (both of whom will surely see Oscar noms) their situation is rendered even more poignant. Some may find the pace slow, but I found it quietly compelling. In addition to the historical significance of the case, this film beautifully portrays the enduring love that made their relationship transcend racial boundaries."" ]";0.0;0.0;0.0;0.0;6;3.0
6276;moonlight-2016;9;TVJerry;/user/TVJerry;Nov 15, 2016;"[ ""The lead character is called by 3 names, each for different time in his life. Three actors play him as a boy, a teen and a man and they're all exceptional, finding the character's soul with few words and expressive eyes. Our heart breaks as he struggles with his addicted mother, bullying classmates and his own sexuality. First time writer/director Barry Jenkins let's every scene play out with compelling quiet: Simple and underplayed, but with an underlying intensity that's achingly bittersweet. This is a somber, poetic film experience with tender, yet powerful performances . An unexpected drama from an insightful and gifted director."" ]";3.0;13.0;3.0;10.0;6;3.0
